seq,type_road,speed_default
1,tertiary,30
2,residential,30
3,track,30
4,cycleway,30
5,service,30
6,primary,30
7,unclassified,30
8,track_grade5,30
9,trunk,30
10,path,30
11,secondary,30
12,steps,30
13,pedestrian,30
14,footway,30
15,track_grade2,30
16,living_street,30
17,track_grade4,30
18,track_grade1,30
19,trunk_link,30
20,tertiary_link,30
21,unknown,30
22,secondary_link,30
23,primary_link,30
24,track_grade3,30
25,motorway,30
26,motorway_link,30
27,busway,30
28,bridleway,30
